satellite_count,method_id,label,utility,delivery_ratio,online_scheduling_time_s
100,M1,M1 Full Graph + Greedy,42500.0,0.25,0.0027926000766456127
500,M1,M1 Full Graph + Greedy,102000.0,0.6,0.00596850027795881
1000,M1,M1 Full Graph + Greedy,68000.0,0.4,0.00971360004041344
2000,M1,M1 Full Graph + Greedy,136000.0,0.8,0.011341999750584364
3000,M1,M1 Full Graph + Greedy,150166.66666666666,0.8833333333333332,0.016090599936433136
4000,M1,M1 Full Graph + Greedy,144500.0,0.85,0.017049400019459426
5000,M1,M1 Full Graph + Greedy,144500.0,0.85,0.023799100308679044
6000,M1,M1 Full Graph + Greedy,144500.0,0.85,0.033555000089108944
7000,M1,M1 Full Graph + Greedy,144500.0,0.85,0.03765069996006787
8000,M1,M1 Full Graph + Greedy,150166.66666666666,0.8833333333333332,0.04792680044192821
9000,M1,M1 Full Graph + Greedy,142516.6666666667,0.8383333333333334,0.06238769961055368
10000,M1,M1 Full Graph + Greedy,145916.66666666674,0.8583333333333337,0.0702839995501563
11000,M1,M1 Full Graph + Greedy,143042.85714285713,0.8414285714285714,0.09077109966892749
12000,M1,M1 Full Graph + Greedy,143316.07142857148,0.8430357142857144,0.10986729932483286
13000,M1,M1 Full Graph + Greedy,136047.22222222225,0.800277777777778,0.1302481001475826
14000,M1,M1 Full Graph + Greedy,132836.11111111112,0.7813888888888889,0.14639159990474582
15000,M1,M1 Full Graph + Greedy,129058.33333333337,0.7591666666666669,0.15765679930336773
16000,M1,M1 Full Graph + Greedy,120079.36507936512,0.7063492063492065,0.17642399983014911
17000,M1,M1 Full Graph + Greedy,119094.44444444448,0.7005555555555557,0.200895200134255
18000,M1,M1 Full Graph + Greedy,117300.00000000001,0.6900000000000001,0.22703569976147264
19000,M1,M1 Full Graph + Greedy,113900.00000000003,0.6700000000000002,0.23951400071382523
20000,M1,M1 Full Graph + Greedy,114595.45454545457,0.6740909090909093,0.2559457989409566
100,M2,M2 Top-K Graph + Greedy,42500.0,0.25,0.0025068004615604877
500,M2,M2 Top-K Graph + Greedy,102000.0,0.6,0.004214399494230747
1000,M2,M2 Top-K Graph + Greedy,68000.0,0.4,0.0052880001021549106
2000,M2,M2 Top-K Graph + Greedy,136000.0,0.8,0.005434899590909481
3000,M2,M2 Top-K Graph + Greedy,144500.0,0.85,0.007372500258497894
4000,M2,M2 Top-K Graph + Greedy,144500.0,0.85,0.006911999895237386
5000,M2,M2 Top-K Graph + Greedy,144500.0,0.85,0.008112899609841406
6000,M2,M2 Top-K Graph + Greedy,144500.0,0.85,0.011177199659869075
7000,M2,M2 Top-K Graph + Greedy,144500.0,0.85,0.012719899881631136
8000,M2,M2 Top-K Graph + Greedy,136000.0,0.8,0.012754900264553726
9000,M2,M2 Top-K Graph + Greedy,132600.0,0.78,0.01532760076224804
10000,M2,M2 Top-K Graph + Greedy,133166.6666666667,0.7833333333333334,0.016500300145708025
11000,M2,M2 Top-K Graph + Greedy,128714.28571428574,0.7571428571428572,0.0203393999254331
12000,M2,M2 Top-K Graph + Greedy,126673.61111111114,0.745138888888889,0.02340879908297211
13000,M2,M2 Top-K Graph + Greedy,125847.22222222226,0.740277777777778,0.025195000460371375
14000,M2,M2 Top-K Graph + Greedy,122825.00000000001,0.7225000000000001,0.025552300037816167
15000,M2,M2 Top-K Graph + Greedy,119236.11111111114,0.7013888888888891,0.027923399698920548
16000,M2,M2 Top-K Graph + Greedy,114466.66666666669,0.6733333333333335,0.03001019940711558
17000,M2,M2 Top-K Graph + Greedy,109555.55555555559,0.6444444444444446,0.03310740028973669
18000,M2,M2 Top-K Graph + Greedy,108800.00000000001,0.6400000000000001,0.03362640039995313
19000,M2,M2 Top-K Graph + Greedy,109650.00000000003,0.6450000000000001,0.03660609957296401
20000,M2,M2 Top-K Graph + Greedy,108181.81818181822,0.6363636363636366,0.03582629992160946
100,M3,M3 Full Graph + Hungarian,42500.0,0.25,0.0022276993840932846
500,M3,M3 Full Graph + Hungarian,102000.0,0.6,0.006729099783115089
1000,M3,M3 Full Graph + Hungarian,74375.0,0.4375,0.008846600539982319
2000,M3,M3 Full Graph + Hungarian,136000.0,0.8,0.011402500327676535
3000,M3,M3 Full Graph + Hungarian,150166.66666666666,0.8833333333333332,0.01671779982279986
4000,M3,M3 Full Graph + Hungarian,144500.0,0.85,0.016157599864527583
5000,M3,M3 Full Graph + Hungarian,144500.0,0.85,0.02402380050625652
6000,M3,M3 Full Graph + Hungarian,144500.0,0.85,0.031913200044073164
7000,M3,M3 Full Graph + Hungarian,144500.0,0.85,0.039328400045633316
8000,M3,M3 Full Graph + Hungarian,150166.66666666666,0.8833333333333332,0.04496949887834489
9000,M3,M3 Full Graph + Hungarian,142516.6666666667,0.8383333333333334,0.058186400099657476
10000,M3,M3 Full Graph + Hungarian,144500.00000000006,0.8500000000000003,0.0742350994842127
11000,M3,M3 Full Graph + Hungarian,145228.57142857142,0.8542857142857143,0.09236560028512031
12000,M3,M3 Full Graph + Hungarian,141427.18253968257,0.8319246031746034,0.12084600061643869
13000,M3,M3 Full Graph + Hungarian,138762.50000000006,0.8162500000000003,0.13162489980459213
14000,M3,M3 Full Graph + Hungarian,133284.72222222222,0.7840277777777779,0.14528889954090118
15000,M3,M3 Full Graph + Hungarian,132222.22222222225,0.7777777777777779,0.16171099990606308
16000,M3,M3 Full Graph + Hungarian,123290.47619047621,0.7252380952380955,0.1841390001354739
17000,M3,M3 Full Graph + Hungarian,119141.66666666669,0.7008333333333335,0.2057476001791656
18000,M3,M3 Full Graph + Hungarian,119850.00000000001,0.7050000000000001,0.23369619948789477
19000,M3,M3 Full Graph + Hungarian,113900.00000000003,0.6700000000000002,0.2513591004535556
20000,M3,M3 Full Graph + Hungarian,113900.00000000003,0.6700000000000002,0.27197259990498424
100,M4,M4 Top-K Graph + Hungarian,42500.0,0.25,0.0021526997443288565
500,M4,M4 Top-K Graph + Hungarian,102000.0,0.6,0.004688000422902405
1000,M4,M4 Top-K Graph + Hungarian,74375.0,0.4375,0.004791199811734259
2000,M4,M4 Top-K Graph + Hungarian,136000.0,0.8,0.005400399910286069
3000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.0062374003464356065
4000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.00612200063187629
5000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.008354199584573507
6000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.010352500015869737
7000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.012187000131234527
8000,M4,M4 Top-K Graph + Hungarian,134300.0,0.79,0.012604199349880219
9000,M4,M4 Top-K Graph + Hungarian,132600.0,0.78,0.015280099236406386
10000,M4,M4 Top-K Graph + Hungarian,134583.33333333334,0.7916666666666667,0.016570400213822722
11000,M4,M4 Top-K Graph + Hungarian,128714.28571428574,0.7571428571428572,0.01977929996792227
12000,M4,M4 Top-K Graph + Hungarian,127500.00000000003,0.7500000000000002,0.02434209967032075
13000,M4,M4 Top-K Graph + Hungarian,125847.22222222226,0.740277777777778,0.026985900243744254
14000,M4,M4 Top-K Graph + Hungarian,121762.50000000001,0.71625,0.025849599391222
15000,M4,M4 Top-K Graph + Hungarian,118362.50000000003,0.6962500000000001,0.027416299446485937
16000,M4,M4 Top-K Graph + Hungarian,114466.66666666669,0.6733333333333335,0.029709300841204822
17000,M4,M4 Top-K Graph + Hungarian,110594.44444444448,0.6505555555555558,0.03339540050365031
18000,M4,M4 Top-K Graph + Hungarian,109650.00000000001,0.6450000000000001,0.03670930000953376
19000,M4,M4 Top-K Graph + Hungarian,109650.00000000003,0.6450000000000001,0.03698349976912141
20000,M4,M4 Top-K Graph + Hungarian,108336.36363636368,0.6372727272727274,0.03830750018823892
